,Arabic name,عبد,# of Passages (as of last update),# of Words (as of last update),Witness ,Formatted,Organized by Story,Uploaded to Github,Last Date Updated,Notes,,,,,,,,,,,,,,,,
48.       ,Ismāʿīl b. ʿAyyāsh b. Sulaym al-ʿAnsī al-Ḥumṣī,اسماعيل بن عياش بن سليم العنسي,,,WIASA,,,,,,,,,,,,,,,,,,,,,
49.       ,Ismāʿīl b. Ibrāhīm b. Muḥammad b. Ṭalḥah al-Ḥijāzī,اسماعيل بن ابراهيم بن محمد,,,WISIB,,,,,,,,,,,,,,,,,,,,,
50.       ,Ismāʿīl b. Jaʿfar b. Abī Kathīr al-Madinī al-Anṣārī,اسماعيل بن جعفر بن ابي كثير,,,WIJAK,,,,,6/21/23 Added to epp. Needs to be formatted and arranged.,,,,,,,,,,,,,,,,
51.       ,Ismāʿīl b. ʿUlayah,اسماعيل بن علية,,,WISUL,,,,,,,,,,,,,,,,,,,,,
52.       ,Jaʿfar b. al-Ḥārith b. ʿUmārah al-Nikhaʿī,جعفر بن الحارث بن عمارة النخعي,,,WJHUN,,,,,6/21/23 new passage added. Text needs to be formatted and arranged. ,,,,,,,,,,,,,,,,
53.       ,Jarīr b. ʿAbd al-Ḥamīd al-Ḍabbī,جرير بن عبد الحميد الضبي,,,WJAHD,,,,,6/21/23 new passage added. Text needs to be formatted and arranged.,,,,,,,,,,,,,,,,
54.       ,Jarīr b. Ḥāzim b. Zayd b. ʿAbd Allāh b. Shajāʿ al-Azdī al-ʿAtkī al-Baṣrī,جرير بن حازم ,,,WJHZA,,,,,,,,,,,,,,,,,,,,,
55.       ,Karāmah bint Muḥammad b. Isḥāq b. Yasār,كرامة بنت محمد بن اسحاق بن يسار,,,WKMIY,,,,,6/21/23 new passage added. Text needs to be formatted and arranged.,,,,,,,,,,,,,,,,
56.       ,Lūṭ b. Yaḥyā b. Saʿīd b. Mikhnaf al-Azdī Abū Mikhnaf,لوط بن يحيى بن سعيد بن مخنف,,,WLYSN,,,,,,,,,,,,,,,,,,,,,
57.       ,Mandal (ʿAmr) b. ʿAlī al-ʿAnzī al-Kūfī,مندل (عمرو) بن علي العنزي,,,WMAAK,,,,,,,,,,,,,,,,,,,,,
58.       ,Masʿūd b. Saʿd al-Juʿfī al-Kūfī,مسعود بن سعد الجعفي,,,WMSJK,,,,,,,,,,,,,,,,,,,,,
59.       ,Mughīrah b. Siqlāb,مغيرة بن سقلاب,,,WMGHS,,,,,,,,,,,,,,,,,,,,,
60.       ,Muḥammad b. ʿAbd Allāh al-Jawharī,محمد بن عبد الله الجوهري,,,WMAAJ,,,,,6/21/23 new passage added. Text needs to be formatted and arranged.,,,,,,,,,,,,,,,,
61.       ,Muḥammad b. Abī ʿAdī (Ibrāhīm) al-Baṣrī,محمد بن ابي عدي,,,WMAAI,,,,,,,,,,,,,,,,,,,,,
62.       ,Muḥammad b. ʿAmr b. ʿAwwan al-Wāsiṭī Abū ʿAwwan,محمد بن عمرو بن عون,,,WMAAW,,,,,,,,,,,,,,,,,,,,,
63.       ,Muḥammad b. Fuḍayl b. Ghazwān b. Jarīr al-Ḍabbī al-Kūfī,محمد بن فضيل بن غزوان,,,WMFGH,,,,,,,,,,,,,,,,,,,,,
64.       ,Muḥammad b. al-Ḥajjāj al-Lakhmī,محمد بن الحجاج اللخمي,,,WMHAL,,,,,,,,,,,,,,,,,,,,,
65.       ,Muḥammad b. Ḥasan,محمد بن حسن,,,WMHHA,,,,,,,,,,,,,,,,,,,,,
66.       ,"Muḥammad b. Ismāʿīl b. Muslim b. Abī Fadayk, Abū Ismāʿīl",محمد بن اسماعيل بن مسلم بن ابي فديك,,,WUISL,,,,,6/22/23 file add to epp. Needs to be formatted and arranged. ,,,,,,,,,,,,,,,,
67.       ,Muḥammad b. Kaʿb b. Salīm b. Asad al-Quraẓī al-Madinī AKA: Abū Ḥamzah,محمد بن كعب بن سليم بن اسد ابو حمزة,,,WMKSQ,,,,,,,,,,,,,,,,,,,,,
68.       ,"Muḥammad b. Khāzim al-Ḍarīr, Abū Muʿāwiyah",محمد بن خازم الضرير,,,WMKHZ,,,,,6/22/23 file add to epp. Needs to be formatted and arranged.,,,,,,,,,,,,,,,,
69.       ,Muḥammad b. Khālid al-Wahbī,محمد بن خالد الوهبي,,,WMKHW,,,,,,,,,,,,,,,,,,,,,
70.       ,Muḥammad b. Muʿallā al-Razī al-Azdī,محمد بن معلى (معلا) الرازي,,,WMMRA,,,,,,,,,,,,,,,,,,,,,
71.       ,Muḥammad b. Maslamah al-Makhzūmī al-Madīnī,محمد بن مسلمة المخزومي,,,WMMAH,,,,,,,,,,,,,,,,,,,,,
72.       ,Muḥammad b. Naṣr,محمد بن نصر,,,WMHNS,,,,,,,,,,,,,,,,,,,,,
73.       ,Muḥammad b. Salamah b. ʿAbd Allāh al-Bāhilī al-Ḥarrānī,محمد بن سلمة بن عبد الله الباهلي,,,WMSAH,,,,,محمد هو ابن سلمة,,,,,,,,,,,,,,,,
,,,,,,,,,,محمد بن سلمة الحراني,,,,,,,,,,,,,,,,
74.       ,Muḥammad b. ʿUbayd b. Abī Umayyah ʿAbd al-Raḥmān al-Īyādī al-Ṭanāfisī al-Kūfī,محمد بن عبيد بن ابي امية,,,WMUTK,,,,,,,,,,,,,,,,,,,,,
